@relation train

@attribute SeriousDlqin2yrs {NO,YES}
@attribute RevolvingUtilizationOfUnsecuredLines numeric
@attribute age numeric
@attribute NumberOfTime30-59DaysPastDueNotWorse numeric
@attribute DebtRatio numeric
@attribute MonthlyIncome numeric
@attribute NumberOfOpenCreditLinesAndLoans numeric
@attribute NumberOfTimes90DaysLate numeric
@attribute NumberRealEstateLoansOrLines numeric
@attribute NumberOfTime60-89DaysPastDueNotWorse numeric
@attribute NumberOfDependents numeric

@data
NO,0.024999,72,0,67,?,4,0,0,0,0
NO,0.147337,35,0,0.297572,6300,11,0,1,0,2
YES,0,27,0,0.765388,14653,8,0,3,0,0
NO,0.010453,62,0,0.133925,7100,14,0,1,0,1
NO,0.013332,30,0,0.278047,4750,4,0,1,0,0
NO,0.276786,41,0,0.069209,10778,3,0,0,0,2
NO,0.767442,24,0,0.063764,5833,2,0,0,0,0
NO,0.224968,68,0,53,?,8,0,0,0,0
NO,1,50,0,0.095215,4200,1,1,0,0,1
NO,0,42,0,0.894707,8708,9,0,4,0,2
NO,0,49,0,2011,?,15,0,1,0,0
NO,1,50,0,0,1916,0,0,0,0,0
NO,0.127976,57,0,6211,?,35,0,2,0,0
NO,1.005634,44,1,0.623272,7450,12,0,2,1,1
NO,0.076332,64,0,0.15491,7300,9,0,1,0,0
YES,0.274699,50,2,0.12637,3283,7,1,0,0,0
NO,0.292943,27,0,0.139584,2836,11,0,0,0,0
YES,1.007628,36,0,0.625688,5083,18,8,1,0,1
NO,0.091513,43,0,2496,0,11,0,2,0,0
NO,0.028206,64,0,1150,?,11,0,1,0,0
NO,1,68,0,1981,?,1,0,1,0,0
NO,0.852763,61,0,3799,?,8,0,0,0,0
NO,0.620627,47,0,0.190587,15000,6,0,0,0,1
NO,0.002035,72,0,0.001071,7471,12,0,0,0,0
NO,0.352237,56,1,0.411627,7688,13,0,3,0,1
NO,0.031197,59,0,0.743425,1862,16,0,0,0,0
YES,0.087019,25,0,1,?,1,0,0,0,?
NO,0.114047,76,0,0.297946,4624,8,0,1,0,0
NO,0.385335,25,0,0.056215,1600,2,0,0,0,0
NO,0.013029,74,0,1.263131,1979,14,0,2,0,0
NO,0.001972,72,0,2328,?,9,0,1,0,0
YES,1,24,1,382,0,3,3,0,0,0
NO,0.20148,31,0,0.349858,3166,9,0,1,0,0
NO,0.236148,34,0,0.348572,11833,6,0,1,0,2
NO,0.000513,55,2,0.283266,9100,17,0,1,0,1
NO,0.422645,47,0,0.186265,10833,20,0,1,0,1
NO,0,34,0,0.950728,3916,4,0,1,0,0
NO,0.143698,63,0,0.239701,4417,5,0,0,0,0
NO,0.401168,30,0,0.074985,5000,2,0,0,0,1
NO,0.33534,49,0,0.334434,9083,8,0,1,0,3
NO,0.266618,49,0,4208,?,7,0,2,0,0
NO,0,49,0,0.465513,7567,9,0,3,0,1
NO,0.00226,75,0,2,?,4,0,0,0,?
NO,0.066807,59,0,1729,0,12,0,1,0,1
NO,1,52,0,0.292135,800,2,0,0,0,1
NO,0.32418,37,0,0.495001,4300,14,0,1,0,0
NO,0,65,0,0.134997,5088,3,0,1,0,1
NO,0.011363,69,0,172,?,1,0,0,0,0
NO,0.018321,70,0,921,?,12,0,2,0,?
NO,0.385912,56,0,0.360364,10000,10,0,1,0,1
YES,0.148034,78,0,0.469933,7000,12,0,1,0,0
NO,0.056659,44,0,0.652668,8000,9,0,2,0,1
NO,0.432469,39,0,0.418146,6590,7,0,1,0,2
NO,0.03822,44,0,0.045582,2500,16,0,0,0,1
NO,0.039715,64,0,0.01688,14039,10,0,0,0,0
NO,0.013333,38,0,544,?,9,0,0,0,0
NO,0,58,0,0.177724,7837,8,0,2,0,1
NO,0.976265,24,0,0.891892,850,4,0,0,0,0
NO,0.037211,63,0,0.230154,5000,6,0,1,0,0
YES,0.974472,44,0,1293.5,1,6,0,0,0,2
NO,0.965009,45,2,0.140478,1800,4,0,0,0,0
NO,0,69,0,0.314767,3500,8,0,3,0,0
NO,0.006326,81,0,0.002915,2400,6,1,0,0,0
NO,0.071958,53,0,0.178311,11249,10,0,2,0,3
NO,0.028178,33,0,0.538498,4168,5,0,3,0,0
YES,0.378317,36,0,0.395612,11121,11,0,1,0,1
NO,0.517985,43,0,0.382784,9200,8,0,2,0,2
NO,0.084768,58,0,209,?,6,0,0,0,0
YES,1.271081,31,3,0.035988,3000,4,1,0,0,0
NO,0.939717,54,2,0.058736,60081,9,0,2,0,1
NO,0.014822,61,0,0.277683,5833,41,0,2,0,1
NO,0.029662,30,0,1.195902,2000,6,0,2,0,0
NO,0.232317,53,0,0.411525,4667,11,0,2,0,1
NO,0.099627,29,0,0.261685,4000,4,0,1,0,0
NO,0.000099,49,0,0.302597,7200,5,0,1,0,0
NO,0.071399,53,0,0.442006,11345,20,0,1,0,0
NO,0.170093,38,0,0.203619,14590,7,0,2,0,0
NO,0.605171,63,0,572,?,4,0,0,0,0
NO,0,69,1,0.437296,2144,11,0,0,0,0
NO,0.030565,63,0,0.196423,9000,20,0,1,0,1
NO,0.21656,56,2,779,0,6,0,0,0,0
NO,0.444075,67,0,0.355878,5987,10,0,1,0,0
NO,0.030705,63,0,0.006266,15000,8,0,0,0,0
NO,0.723931,32,0,0.101623,6100,7,0,0,0,0
NO,0.292524,63,0,0.221156,5000,14,0,1,0,0
NO,0.317843,45,0,0.167946,5471,7,0,0,0,4
NO,0.044085,67,0,0.010888,9000,6,0,0,0,0
NO,0.144323,47,0,0.176307,19000,19,0,2,0,2
NO,0.029784,54,0,5599,?,14,0,3,0,0
NO,0.038848,69,0,404,?,6,0,1,0,?
NO,0.604796,34,0,0.430202,3416,7,0,1,0,0
NO,0.053552,61,0,0.287143,12000,7,0,1,0,0
NO,0.047878,48,0,0.195108,5314,5,0,1,0,2
NO,0.322059,52,0,0.250167,10500,12,0,1,1,1
NO,0.731916,43,2,0.570437,8496,12,0,2,0,2
NO,0.02615,36,0,1854,0,3,0,1,0,3
NO,0.575539,70,0,0.146141,4871,5,0,0,0,0
NO,0.226386,62,0,5319,?,14,0,2,0,1
NO,0.041928,65,0,0.153931,10900,11,0,1,0,3
NO,0.095857,62,0,0.240329,17500,7,0,3,0,1
NO,0.224756,64,0,0.437731,3243,14,0,1,0,0
YES,0.964353,36,0,0.179482,5448,7,0,0,0,2
NO,0.333431,52,0,2365,?,8,0,1,0,0
NO,0.092133,34,0,0.088417,7916,5,0,1,0,0
NO,0,68,0,0.258636,7670,5,0,2,0,0
NO,0.059002,50,0,0.144701,12625,8,0,2,0,0
NO,0.585308,68,1,0.762542,5600,11,0,1,0,0
NO,0.188117,54,0,0.460297,9973,30,0,2,0,0
NO,0.001426,62,1,0.503684,1899,10,0,0,0,0
NO,0.830762,60,1,1014,?,6,1,0,2,0
NO,0.005153,54,0,0.518979,4583,11,0,1,0,1
NO,0.948027,65,0,1944,?,8,0,0,0,0
NO,0.017578,54,1,0.574426,1000,10,1,1,0,0
NO,0.261061,58,0,0.361976,15000,11,0,2,0,1
NO,0.149131,56,0,0.454717,4780,5,0,2,0,0
YES,0.563502,50,3,0.672298,5208,8,1,1,0,0
NO,0.039992,31,0,0.002399,2500,1,0,0,0,0
YES,1,53,0,0,0,1,1,0,0,2
NO,0.543965,31,0,0.10155,10900,10,0,0,0,1
NO,0.445974,61,0,0.535496,9493,15,0,1,0,0
NO,0.208401,50,0,0.31343,10416,10,0,1,0,2
NO,0.005066,56,0,720,?,5,0,1,0,?
NO,0.029542,70,0,0.006642,4666,3,0,0,0,0
NO,0.39083,50,0,0.246112,8166,11,0,1,0,0
NO,0.444276,28,1,0.188528,2370,10,1,0,0,0
NO,0.502521,60,1,0.437876,10148,33,0,1,0,1
NO,0.639123,69,0,0.580963,4464,6,0,1,0,0
NO,0.146604,56,2,0.448789,4500,16,0,1,0,0
NO,0.000097,77,0,0,7300,3,0,0,0,0
NO,0.312469,59,0,0.253403,3452,8,0,1,1,0
NO,1,37,1,0.096531,13000,3,0,1,0,3
NO,0.045699,79,0,0.252958,6000,7,0,1,0,0
NO,0.063138,26,0,0.677223,820,8,0,0,0,1
NO,0.135922,81,0,0.37053,12500,8,0,2,0,0
NO,0.197441,36,0,777,?,3,0,1,0,?
NO,0.304147,33,0,0.345219,6954,9,0,2,0,2
NO,0.010354,92,0,28,?,4,0,0,0,0
NO,0.033598,68,0,0.538092,5000,6,0,2,0,0
NO,0.046159,65,0,506,?,6,0,1,0,0
NO,0.785703,42,0,0.416652,5500,5,0,0,0,0
NO,0.989011,40,0,0.588534,5127,12,0,1,0,0
NO,1,56,0,0.339486,6500,8,0,2,0,0
NO,0.121486,66,0,1.14497,3448,11,0,2,0,1
NO,0.1658,30,0,0.21223,10596,10,0,2,0,0
NO,0.329443,30,0,0.406259,10000,13,0,2,0,1
NO,0.982056,52,0,0.34095,3369,8,0,0,0,1
NO,0.047205,71,0,0.018151,6500,6,0,0,0,1
NO,0.055611,63,0,0.008639,12500,7,0,0,0,2
NO,0.160484,33,0,0.107622,2833,8,0,0,0,0
NO,0.109795,66,0,1027,?,3,0,0,0,0
NO,0.069452,42,0,0.42258,4100,17,0,1,0,0
NO,0.11223,50,1,0.363004,12930,8,0,1,0,3
NO,0.05338,64,0,0.403217,3667,6,0,1,0,0
NO,0.026323,61,0,0.093191,10000,4,0,1,0,1
NO,1,54,0,1757,?,5,0,2,0,0
NO,0.292325,45,1,0.354708,7890,12,0,1,0,3
NO,0.1936,45,0,0.383846,2500,6,0,1,0,0
NO,0.011884,71,0,411,?,8,0,0,0,0
YES,0.28308,65,1,0.74511,3220,2,2,1,1,3
NO,0.046315,56,0,451,?,8,0,0,0,0
NO,0.590492,42,0,0.593934,9000,20,0,2,0,0
NO,0,55,0,0,?,10,0,0,0,0
YES,1.109578,23,2,0.079655,2083,2,0,0,0,2
NO,0.159341,42,3,0.512187,8533,13,0,1,0,2
NO,0.325415,37,2,0.014551,5497,2,0,0,0,2
NO,0.049988,74,0,0.000554,10833,2,0,0,0,0
NO,0.550925,46,0,0.626162,7850,22,0,2,0,1
NO,5.377748,77,4,2463,?,7,0,1,0,0
NO,1.051896,25,0,0.11246,2800,2,0,0,1,1
NO,0.509228,40,0,0.255613,18750,8,0,2,0,3
NO,0,52,3,0.220746,10083,6,0,1,0,0
NO,0.001403,92,0,4311,?,7,0,4,0,0
NO,0.625244,40,0,0.474558,7231,9,0,1,0,2
NO,0.092636,60,0,3868,?,16,0,2,0,0
YES,1,25,0,0.295144,2120,4,1,0,0,0
NO,0.640868,37,0,3083,?,10,0,2,0,0
NO,0,24,0,0,4133,2,0,0,0,0
NO,0.232505,22,0,0.005999,4000,3,0,0,0,0
YES,0.222986,62,0,0.387444,15800,17,0,1,1,0
NO,0.123448,63,0,0.072429,7427,8,0,0,0,1
NO,7452,52,0,0.351365,10000,5,0,2,0,3
NO,0.043495,79,0,0.269365,4001,7,0,1,0,0
NO,1,31,0,0.131947,2500,1,0,0,0,0
NO,0.057812,42,0,0.591468,6750,17,0,0,0,1
NO,0.260518,38,0,0.619354,5600,12,0,2,0,1
NO,0.20168,33,0,0.053647,16850,4,0,0,0,1
NO,0.085731,55,0,2600,?,14,0,2,0,0
NO,0.266176,63,0,0.041402,7076,6,0,1,0,0
NO,0.003556,79,0,938,?,11,0,1,0,0
NO,0.310479,38,0,0.387514,7800,5,0,1,0,2
NO,0.473619,63,1,0.267499,17300,14,0,2,0,1
NO,0.090455,67,0,0.060943,5660,8,0,0,0,1
NO,0.023616,57,0,0.007344,6263,4,0,0,0,1
NO,0.101164,63,0,0.290088,7283,8,0,1,0,1
NO,0.148893,64,0,0.213465,9832,8,0,1,0,0
NO,0.757848,33,0,0.117687,2939,3,1,0,0,0
NO,0.046796,77,0,0.002757,6166,4,0,0,0,0
NO,0.786036,68,0,0.510543,5121,4,0,1,0,0
YES,0.44644,51,0,3107,?,7,0,2,0,0
NO,0.102742,49,0,0.221433,13660,13,0,2,0,1
NO,0.010039,33,0,612,?,11,0,0,0,2
NO,0.119349,38,0,0.838398,5166,10,0,1,0,1
NO,0.776026,73,0,0.360006,6860,15,0,1,0,0
NO,0.309249,44,0,0.521896,5000,7,0,2,0,2
NO,1.062646,50,2,0.179032,3490,8,1,0,1,1
NO,0.002174,66,0,0.446518,3000,4,0,1,0,0
NO,0.006272,61,0,0.003999,5000,13,0,0,0,0
NO,1,77,0,26,?,1,0,0,0,?
NO,0.0164,56,0,6.156682,650,9,0,3,0,3
NO,0,43,0,0.31295,10416,5,0,3,0,3
NO,0.074564,77,0,0.528567,10098,12,0,3,0,0
NO,0.016107,35,0,0.00468,4700,5,0,0,0,0
NO,0.304399,50,0,0.91626,4716,12,0,2,0,2
NO,0.490031,57,0,0.392419,14035,18,0,4,0,0
NO,0.704433,39,0,0.764724,6655,12,0,3,0,2
NO,0.002593,47,1,3569,?,9,0,2,0,0
NO,0.049373,54,0,0.548439,4933,18,0,2,0,0
NO,1,38,0,0,4000,0,0,0,0,2
NO,0.387173,62,1,0.396991,11299,12,0,2,0,0
YES,0.913362,47,0,0.019751,4100,2,1,0,0,0
NO,0.259731,61,1,0.501488,3694,11,0,3,0,0
NO,0.329627,53,0,0.376071,8633,9,0,1,0,2
NO,0,36,0,0.423824,2316,6,0,1,0,2
NO,0.203193,57,0,0.43025,16250,16,0,2,0,0
NO,0.277926,46,0,0.207084,5900,8,0,0,0,0
YES,1.007051,36,0,0.088761,3300,4,4,0,1,1
NO,0.268434,36,0,0.042509,2916,4,0,0,0,0
NO,0,62,0,0.117153,2500,13,0,0,0,0
NO,0.019983,64,0,0.037992,5000,12,0,0,0,0
NO,0.988354,51,0,0.869533,4000,9,0,2,0,2
NO,0.06445,58,0,0.392152,4000,11,0,1,0,1
NO,0.396378,22,0,0.281599,1700,3,0,0,0,0
NO,0.129613,49,0,0.394307,8500,17,0,2,0,1
NO,0.303305,46,0,0.492429,10500,11,0,1,0,0
NO,0.009802,42,1,0.321596,9825,9,0,2,0,0
YES,1,28,0,0,?,0,1,0,0,0
NO,0,48,0,0,?,1,0,0,0,0
NO,0.19615,40,0,0.312737,5000,10,0,1,0,2
NO,0.016032,60,0,0.176429,11233,13,0,1,0,1
YES,0.022835,65,0,155,?,8,0,0,0,0
NO,0,71,0,0,?,1,0,0,0,?
NO,0,63,1,0.087569,5252,5,0,1,0,1
NO,0,35,0,0.106205,5366,3,0,0,0,1
NO,0,74,0,728,?,5,0,0,0,0
NO,0.236625,51,0,0.563684,6916,13,0,2,0,2
NO,0.010599,44,0,1.43555,5833,7,0,3,0,0
NO,0.021987,33,0,0.438009,7250,17,0,2,0,1
NO,1,43,0,0.018711,480,1,0,0,0,0
NO,0,37,0,165,0,4,0,0,0,1
NO,0,78,0,1.186459,900,3,0,1,0,0
NO,0.00187,64,1,585,?,12,1,1,1,1
NO,0.918164,63,0,0.017362,3570,4,0,0,0,0
NO,0.870457,69,0,0.28489,5201,11,0,0,0,0
YES,1.170921,22,1,31,?,2,0,0,1,?
NO,1,91,0,5,?,5,0,0,0,0
NO,1,50,0,1.079184,3333,6,0,1,0,0
NO,0.266184,43,0,1.445452,7167,10,0,5,0,1
NO,0.04741,73,0,0.278181,6750,9,0,1,0,0
NO,0,60,0,0.565982,3750,4,0,1,0,0
NO,0.645773,28,0,0.276787,6000,9,0,0,0,0
YES,0.57792,41,0,1.239392,8153,15,0,4,0,0
NO,0.355766,65,0,0.253516,15000,10,0,1,0,1
NO,0.007104,68,0,201,?,12,0,1,0,0
NO,0.087022,54,0,814,?,11,0,0,0,0
NO,0.036658,91,0,48,0,5,0,0,0,1
NO,0.989839,34,4,1694,?,10,1,1,0,?
NO,1,68,1,0.232962,2420,3,1,0,2,1
NO,0.320648,64,0,3061,?,12,0,2,0,0
NO,0.07634,74,0,0.35183,3333,6,0,1,0,0
NO,0.19877,58,0,0.280171,4200,6,0,1,0,2
NO,0.834775,60,1,1.061176,2500,11,0,1,0,0
NO,0.01375,57,0,0.151668,4166,6,0,1,0,3
NO,0.768683,38,1,0.384568,11300,7,0,1,0,2
NO,0,30,0,0.464682,2250,9,0,1,0,0
NO,0.937532,64,2,0.563646,14776,9,0,2,1,1
NO,0.422585,49,1,1804,?,4,0,1,0,0
NO,0.032952,77,0,1437,?,7,0,1,0,0
NO,0,61,0,0.312114,14750,10,0,3,0,0
NO,1,58,0,0.305149,3417,1,0,1,0,0
YES,0.695382,61,3,0.656664,4831,17,0,2,2,0
NO,0.206702,41,0,0.307175,8333,6,0,1,0,2
NO,0.023067,49,1,0.284239,3000,11,0,1,0,3
NO,0,33,1,0.028052,6986,5,0,0,0,2
NO,0.19164,61,0,0.163088,13133,7,0,2,0,0
NO,0,62,0,0.307738,5000,7,0,2,0,0
NO,0.078272,69,0,1408,?,9,0,1,0,0
NO,0.032998,51,0,0.7489,2500,8,0,1,0,2
NO,0.025167,60,1,0.120443,6500,16,0,0,0,1
NO,0.005462,79,0,0.002141,1400,5,0,0,0,0
NO,0.874668,57,1,0.742851,5000,14,0,1,0,2
NO,0.01551,34,0,106,?,7,0,0,0,?
NO,0.629852,56,0,0.364787,9166,13,0,1,0,1
NO,0.219093,40,1,3489,?,6,0,2,0,0
NO,0.331377,46,0,0.324329,12400,13,0,2,0,2
NO,0.052425,62,0,0.503259,2300,4,0,2,0,0
NO,0.081824,48,1,0.50168,8333,15,0,2,0,1
NO,0.190229,67,0,0.207353,6500,8,0,0,0,2
NO,0.385585,48,0,0.599821,3350,6,0,1,0,0
YES,1,27,98,0,750,0,98,0,98,0
NO,0.167618,55,0,0.244084,9000,5,0,1,0,0
NO,0.04229,46,0,4.541392,3333,15,0,8,0,2
NO,0.031005,61,0,0.126773,13606,6,0,1,0,1
NO,0.523786,38,0,0.082992,11000,10,1,0,0,3
NO,0.882279,50,1,0.149992,6426,7,0,0,0,2
NO,0.896803,50,0,0.44729,26000,15,0,3,0,0
NO,0.02776,56,0,514,?,7,0,0,0,4
NO,0.013861,63,0,0.106509,4393,7,0,1,0,0
NO,0.052752,64,0,3534,?,12,0,2,0,1
NO,0.053144,59,0,0.011996,3000,2,0,0,0,0
YES,0.506264,51,3,0.283345,4280,6,2,0,1,1
NO,0.274624,44,0,0.095718,11700,6,0,0,0,2
NO,0.048444,58,0,3549,?,10,0,1,0,?
NO,0.009458,83,0,32,?,24,0,0,0,0
NO,0.116315,44,0,0.334938,10180,7,0,2,0,3
NO,0.048445,71,0,0.199003,5416,7,0,1,0,0
NO,0.074964,73,0,708,?,9,0,1,0,0
NO,0.576292,42,0,4099,?,13,0,2,0,3
NO,0,46,0,0,?,5,0,0,0,0
NO,0.072157,77,0,54,?,1,0,0,0,0
NO,0.022761,76,0,37,?,7,0,0,0,0
NO,0.037229,44,0,0.061235,4000,8,0,0,0,0
NO,0.79134,43,0,0.258936,5846,8,0,1,1,3
NO,0.120047,75,0,727,?,11,0,1,0,0
NO,0.135968,57,1,0.679527,1943,14,0,1,0,0
NO,0.042417,42,0,3357,?,6,0,1,0,0
NO,0.085008,61,0,0.437391,4000,10,0,1,0,1
NO,0.741206,53,0,1.103295,2700,15,0,2,0,0
NO,0.034582,67,0,0.00558,16666,4,0,0,0,0
NO,0.337417,37,0,0.500171,5833,3,0,1,0,0
NO,0.015261,58,0,0.314375,4500,8,0,2,0,0
NO,0.424467,46,1,0.46531,3833,9,0,0,0,2
NO,0.004897,60,0,1252,?,11,0,1,0,0
NO,0.002921,47,0,0.003399,5000,4,0,0,0,0
NO,0.143135,52,0,0.393113,13125,15,0,2,1,0
YES,0.494183,50,0,1970,?,31,0,0,0,0
NO,0.051351,34,0,0.473741,3674,5,0,2,0,2
NO,0.939689,59,0,3.188571,3499,15,0,5,0,2
NO,1,49,0,0,?,0,0,0,0,0
NO,0.45217,43,0,0.364996,5884,9,0,2,0,0
NO,0.099124,70,0,35,?,4,0,0,0,0
NO,0.071601,52,0,0.047771,7200,5,0,0,0,0
NO,0.058774,77,0,0.014123,8000,4,0,0,0,0
NO,0.014144,87,0,0.00499,9218,9,0,0,1,0
NO,1,76,0,0.081402,5478,5,0,0,0,0
NO,0,41,0,0.989526,4200,8,0,2,0,2
NO,0.024926,40,0,0.169198,12375,7,0,1,0,0
NO,0.475789,66,2,0.357154,6646,7,1,2,0,0
NO,0.000195,49,0,0.105362,8000,7,0,1,0,1
NO,0.736453,63,0,0.247501,2500,3,0,0,0,0
NO,0.541729,82,0,0.245747,1586,3,0,0,0,0
NO,0.015173,55,1,0.255928,18133,11,0,1,0,1
NO,0.012971,80,0,6,?,3,0,0,0,0
NO,0.003038,45,1,0.459592,6916,15,0,4,0,0
NO,0.149372,48,0,0.279617,5950,8,0,1,0,1
NO,0.023131,48,0,2165,0,16,0,2,0,1
NO,0.811926,60,1,0.538932,4250,8,0,2,0,0
NO,0.304843,43,0,0.387903,4000,4,0,1,0,2
NO,0.176934,46,0,0.842831,1666,11,0,1,0,1
NO,0.412766,70,0,0.27933,3400,6,0,1,0,0
NO,0.001205,38,1,0.507622,6100,19,0,1,1,0
NO,0,57,0,0.240448,8400,5,0,1,0,0
NO,0.409845,52,1,0.393491,10200,9,0,2,0,3
NO,0.007327,72,0,12,?,5,0,0,0,0
NO,0.036432,65,0,0.038369,833,4,0,0,0,0
YES,1,58,0,0.104272,8918,1,1,0,1,0
NO,0.109792,38,0,0.246547,7166,9,0,1,0,1
NO,0.929546,36,0,1950,?,6,0,1,0,0
NO,0.256651,64,0,1.363455,2500,13,0,1,0,1
YES,0,31,0,0.018491,3352,2,0,0,0,1
YES,1.045701,32,1,0.195378,3807,9,2,0,2,0
NO,0.488409,44,0,0.769914,9000,19,0,1,0,2
NO,0.492775,61,0,0.190974,7644,4,0,0,0,0
NO,0.066386,64,0,0.184363,10500,13,0,1,0,0
YES,0.509544,50,2,0.304691,11916,11,0,3,2,2
NO,0.928787,42,1,599,?,3,0,0,0,0
NO,0.826833,42,1,0.175816,5300,4,0,0,0,1
NO,0.52783,53,0,0.492343,4766,15,0,2,0,2
NO,0.015608,51,0,0.056258,7909,11,0,0,0,0
NO,0.087534,79,0,259,?,4,0,0,0,1
NO,0.149702,47,0,1.119933,1800,16,0,1,0,0
NO,0.126255,78,0,0.008699,10000,3,0,0,0,0
NO,0.073495,49,0,0.235454,15416,10,0,1,0,2
NO,0.271847,37,0,4501,?,19,0,2,0,2
NO,0.112041,50,0,0.353185,4583,8,0,2,0,1
NO,0.029086,63,0,0.639884,5500,8,0,3,0,1
NO,0.273735,37,0,0.322261,4244,5,0,1,0,3
NO,0.033223,40,0,12,?,3,0,0,0,0
YES,1.324594,30,0,58,?,2,2,0,1,0
NO,1,45,0,0.040738,1300,1,0,0,0,0
NO,0.104736,53,0,0.011665,6600,5,0,0,0,7
NO,0.511468,65,0,0.404897,7922,6,0,2,0,0
NO,0.954092,24,0,0.034913,400,1,0,0,0,0
NO,0.064435,72,0,617,?,4,0,1,0,0
NO,0.204223,91,0,268,?,3,0,0,0,?
NO,0.59084,60,0,0.639544,6402,10,0,2,0,0
YES,0.99995,33,6,0.259772,45000,10,5,2,1,0
NO,0,48,0,412,?,3,0,0,0,0
NO,0.65774,46,0,0.482502,8200,6,0,2,0,4
NO,0.005614,37,1,2433,?,14,0,1,0,?
NO,1,26,1,0,?,0,1,0,0,0
NO,0.504609,53,0,0.36406,10077,10,0,1,0,2
NO,0.009676,43,0,0.228053,5125,8,0,1,0,2
NO,0.020452,51,0,0.032213,3600,57,0,0,0,0
NO,0.14203,64,0,0.142475,5600,7,0,0,0,1
NO,0.102096,37,2,0.2057,14000,14,0,2,0,2
NO,0.175988,39,0,0.271297,7500,4,0,1,0,1
NO,0.489143,49,0,0.410347,19290,19,0,3,0,2
NO,55,47,0,1,?,3,0,0,0,0
NO,1,42,0,0.164709,4000,1,0,0,0,0
NO,0.316453,46,0,0.206566,12000,3,0,1,0,0
YES,0.64177,35,0,0.66012,3818,13,0,2,0,2
NO,0.842936,38,0,0.527778,4211,4,0,1,0,2
NO,0,24,0,0,2083,1,0,0,0,0
NO,0.117768,84,0,407,?,5,0,0,0,0
NO,0.047717,41,0,0.64732,5633,5,0,2,0,1
NO,1,29,0,0.119576,5000,0,0,0,0,0
NO,0.478691,50,0,0.70786,2200,13,0,1,0,2
NO,0.631045,67,1,0.325457,13500,15,0,2,0,1
NO,1,51,1,0.181614,16000,5,0,1,0,2
NO,0.036302,68,0,35,?,6,0,0,0,0
NO,1,52,0,0.0589,4600,2,0,0,0,2
YES,0.455982,36,0,0.518825,8100,12,1,1,0,2
NO,0.298278,31,1,0.493576,6537,8,0,2,0,1
NO,0.023999,46,0,0.449626,8833,11,0,4,0,2
YES,0.934208,33,1,0.613197,4500,8,0,2,6,4
NO,0,55,1,0.097214,3445,7,0,0,0,0
NO,0.715748,67,0,0.32562,14000,13,0,3,0,0
NO,0.111743,58,0,0.358269,7672,6,0,1,0,0
NO,0.229213,49,0,0.358981,12164,8,0,2,0,0
NO,0.004455,83,0,0.001846,5416,6,0,0,0,0
NO,0.007705,87,0,12,?,11,0,0,0,?
NO,1,53,1,0.659736,2500,4,0,2,2,2
NO,0.010178,64,0,0.352565,11560,8,0,2,0,3
NO,0.12549,36,1,0.323489,6500,16,0,2,0,2
NO,0.481614,34,0,0.677074,5700,18,0,2,0,2
NO,0.08749,42,0,0.100543,3500,6,0,0,0,0
NO,0.021751,70,0,24,?,4,0,0,0,2
NO,0.441683,68,0,0.103816,6000,4,0,0,0,0
NO,0.010746,77,0,40,?,11,0,0,0,0
NO,0.018787,57,0,0.259003,13300,10,0,1,0,0
NO,0.022563,57,0,0.009374,8000,9,0,0,0,0
NO,0.18223,38,0,1497,?,12,0,1,0,0
NO,1,32,0,0.105965,3000,2,2,0,0,1
NO,0.064255,37,0,0.232437,7700,10,0,1,0,1
NO,0.38922,43,0,1.11822,4000,20,0,2,0,0
NO,1,46,0,0,6000,1,0,0,1,4
YES,0.594313,44,0,0.991717,3500,9,0,1,0,1
NO,0.95204,52,0,0.360458,6979,12,0,2,0,1
NO,0.018372,50,0,0.230122,6300,10,0,1,0,2
NO,0.531693,31,1,0.518217,5900,14,0,1,0,3
NO,0.146188,81,0,205,?,4,0,0,0,0
NO,0.311587,50,0,1.353982,3050,18,0,2,0,1
NO,0.271516,62,1,6960,?,17,0,2,1,0
NO,0.018352,79,0,1402,0,11,0,1,0,0
NO,0.034691,62,0,0.747038,13333,26,0,6,0,0
NO,0.895759,39,0,0.338061,13958,14,0,2,0,3
NO,0.071442,56,3,3032,?,12,1,2,3,0
YES,0.004255,76,2,0.165454,6460,12,0,2,1,0
NO,0.01321,45,0,0.108041,7200,5,0,0,0,3
NO,0.802457,77,0,1715,0,9,0,2,0,0
NO,0.056149,64,1,2692,?,8,0,1,0,0
NO,0.435625,73,0,0.373325,5000,12,0,1,0,0
NO,0.358928,36,0,121,?,4,0,0,0,0
NO,0.058416,44,0,0.200624,8333,20,0,0,0,1
NO,1.026692,50,3,0.637594,6500,12,3,1,1,2
NO,0.289653,59,0,0.235978,10500,14,0,2,0,0
NO,0.001773,56,0,80,?,5,0,0,0,0
NO,1,28,0,0,?,0,0,0,0,0
NO,0.307038,60,0,0.196381,13483,5,0,2,0,2
NO,0.066565,66,0,328,?,17,0,0,0,?
NO,0.352382,62,0,0.294097,57650,9,0,2,0,0
NO,0.00845,41,0,0.166574,1800,10,0,0,0,1
NO,0.381803,28,0,0.14445,5558,7,0,0,0,1
NO,0.125121,62,0,0.450104,5300,7,0,3,0,1
NO,0.041348,45,0,2179,?,4,0,1,0,?
NO,0.873518,56,1,3010,?,9,0,2,0,0
NO,0.098434,57,0,0.025602,9100,9,0,0,0,0
NO,0.052365,57,0,1647,?,6,0,1,0,?
NO,0.292509,44,0,1.343385,3083,12,0,2,0,0
NO,0.020627,64,0,1749,?,11,0,1,0,4
